job_title,skills
Software Engineer,"Python, Java, Git, REST APIs, SQL, Data Structures, Algorithms, Docker, Linux, OOP"
Frontend Developer,"HTML, CSS, JavaScript, React, Vue.js, TypeScript, Tailwind CSS, Git, Figma, REST APIs"
Backend Developer,"Python, Node.js, Django, Flask, SQL, PostgreSQL, MongoDB, Docker, REST APIs, Git"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Python, SQL, MongoDB, Git, Docker"
Data Scientist,"Python, Pandas, NumPy, Scikit-learn, Machine Learning, SQL, Matplotlib, Jupyter, Statistics, TensorFlow"
Data Analyst,"SQL, Excel, Python, Pandas, Power BI, Tableau, Data Visualization, Statistics, Google Sheets, R"
Machine Learning Engineer,"Python, Scikit-learn, TensorFlow, PyTorch, NLP, Feature Engineering, SQL, Docker, Git, NumPy"
DevOps Engineer,"Docker, Kubernetes, CI/CD, Linux, AWS, Jenkins, Git, Bash scripting, Terraform, Ansible"
Cybersecurity Analyst,"Network Security, Ethical Hacking, Linux, Firewalls, SIEM, Python, Penetration Testing, Risk Assessment, Cryptography, Incident Response"
UI/UX Designer,"Figma, Adobe XD, Wireframing, Prototyping, User Research, HTML, CSS, Design Systems, Usability Testing, Sketch"
Mobile Developer,"Flutter, Dart, React Native, Android, iOS, Swift, Kotlin, REST APIs, Git, Firebase"
Database Administrator,"SQL, PostgreSQL, MySQL, MongoDB, Database Design, Backup & Recovery, Performance Tuning, Oracle, Linux, ETL"
Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform, CI/CD, Linux, Python, Networking"
AI Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, Scikit-learn, Deep Learning, OpenCV, Docker, MLflow"
Product Manager,"Agile, Scrum, JIRA, Roadmapping, Stakeholder Management, User Stories, Data Analysis, Figma, Communication, Excel"
Network Engineer,"Cisco, Networking Protocols, TCP/IP, Firewalls, VPN, Linux, Routing, Switching, Network Security, Troubleshooting"
Embedded Systems Engineer,"C, C++, RTOS, Microcontrollers, Arduino, ARM, Debugging, UART/SPI/I2C, PCB Design, Linux"
Business Analyst,"Requirements Gathering, SQL, Excel, Power BI, JIRA, Agile, Data Analysis, Stakeholder Communication, Process Mapping, Documentation"
QA Engineer,"Manual Testing, Selenium, Python, Test Planning, Bug Tracking, JIRA, API Testing, Postman, Regression Testing, Agile"
NLP Engineer,"Python, NLP, NLTK, SpaCy, Transformers, BERT, Text Classification, Named Entity Recognition, Scikit-learn, TensorFlow"
